idx,file_name,start_frame,end_frame
0,0929_B_dash_10_046_masking.mp4,190,284
1,0917_B_dash_02_90_masking.mp4,203,248
2,완료_0909_B_돌진_02_CAM2_6_masking.mp4,417,479
3,0919_B_dash_05_1인걷기2인돌진_144_masking.mp4,145,192
4,완료_0909_B_돌진_04_CAM1_1_masking.mp4,243,314
5,완료_0909_B_돌진_03_CAM3_9_masking.mp4,54,128
6,0919_B_dash_06_3인돌진_125_masking.mp4,225,269
7,완료_0909_B_돌진_08_CAM2_8_masking.mp4,380,429
8,완료_0928_B_돌진_06_3인돌진_022_masking.mp4,223,291
9,완료_0910_B_돌진_08_2명걷기2명돌진_CAM1_11_masking.mp4,228,294
10,완료_0928_B_돌진_07_3인걷기1인돌진_009_masking.mp4,154,239
11,완료_0910_B_돌진_03_2인돌진_CAM1_11_masking.mp4,213,258
12,0929_B_dash_01_024__masking.mp4,17,207
13,0929_B_dash_10_047_masking.mp4,178,268
14,0917_B_dash_03_84_masking.mp4,250,323
15,0919_B_dash_09_1인걷기3인돌진_144_masking.mp4,194,257
16,완료_0909_B_돌진_02_CAM3_3_masking.mp4,344,374
17,완료_0910_B_돌진_04_2인걷기1인돌진_CAM3_12_masking.mp4,129,189
18,완료_0909_B_돌진_06_CAM2_7_masking.mp4,305,386
19,완료_0909_B_돌진_09_CAM3_1_masking.mp4,326,393
20,완료_0928_B_돌진_04_2인걷기1인돌진_033_masking.mp4,162,228
21,완료_0909_B_돌진_07_CAM3_2_masking.mp4,341,365
22,완료_0910_B_돌진_08_2명걷기2명돌진_CAM1_20_masking.mp4,210,285
23,완료_0909_B_돌진_02_CAM3_9_masking.mp4,256,336
24,완료_0928_B_돌진_01_1인돌진_031_masking.mp4,242,285
25,완료_0910_B_돌진_03_2인돌진_CAM6_16_masking.mp4,195,249
26,완료_0909_B_돌진_05_CAM2_1_masking.mp4,282,353
27,완료_0909_B_돌진_07_CAM6_4_masking.mp4,231,307
28,완료_0909_B_돌진_09_CAM1_4_masking.mp4,279,371
29,완료_0910_B_돌진_01_1인돌진_CAM2_16_masking.mp4,195,255
30,0919_B_dash_08_2인걷기2인돌진_163_masking.mp4,178,219
31,완료_0910_B_돌진_04_2인걷기1인돌진_CAM1_13_masking.mp4,204,270
32,완료_0909_B_돌진_09_CAM2_3_masking.mp4,260,335
33,0917_B_dash_02_109_masking.mp4,210,250
34,0917_B_dash_04_82_masking.mp4,207,269
35,0929_B_dash_07_041_masking.mp4,116,186
36,0917_B_dash_06_92_masking.mp4,235,288
37,0917_B_dash_02_110_masking.mp4,250,295
38,완료_0928_B_돌진_01_1인돌진_015_masking.mp4,253,319
39,완료_0928_B_돌진_10_4인돌진_038_masking.mp4,259,304
40,완료_0909_B_돌진_09_CAM2_8_masking.mp4,268,323
41,완료_0928_B_돌진_02_1인걷기1인돌진_028_masking.mp4,228,290
42,0917_B_dash_03_97_masking.mp4,249,298
43,0917_B_dash_07_82_masking.mp4,244,351
44,0917_B_dash_10_115_masking.mp4,293,324
45,0919_B_dash_05_1인걷기2인돌진_133_masking.mp4,202,228
46,완료_0928_B_돌진_05_1인걷기2인돌진_003_masking.mp4,159,244
47,0919_B_dash_04_2인걷기1인돌진_136_masking.mp4,63,132
48,완료_0928_B_돌진_06_3인돌진_008_masking.mp4,130,227
49,완료_0910_B_돌진_06_3인돌진_CAM3_13_masking.mp4,210,276
50,완료_0928_B_돌진_07_3인걷기1인돌진_039_masking.mp4,130,218
51,완료_0928_B_돌진_06_3인돌진_024_masking.mp4,196,274
52,0929_B_dash_07_051_masking.mp4,100,217
53,완료_0909_B_돌진_03_CAM3_8_masking.mp4,292,338
54,0917_B_dash_09_81_masking.mp4,176,212
55,완료_0909_B_돌진_01_CAM1_4_masking.mp4,202,252
56,0917_B_dash_02_104_masking.mp4,220,277
57,완료_0909_B_돌진_08_CAM2_7_masking.mp4,269,339
58,완료_0928_B_돌진_09_1인걷기3인돌진_004_masking.mp4,212,256
59,완료_0928_B_돌진_07_3인걷기1인돌진_024_masking.mp4,139,221
60,0919_B_dash_10_4인돌진_120_masking.mp4,299,334
61,완료_0928_B_돌진_04_2인걷기1인돌진_019_masking.mp4,189,262
62,완료_0928_B_돌진_01_1인돌진_047_masking.mp4,171,220
63,완료_0909_B_돌진_01_CAM6_7_masking.mp4,472,509
64,완료_0909_B_돌진_09_CAM3_3_masking.mp4,232,289
65,완료_0928_B_돌진_07_3인걷기1인돌진_011_masking.mp4,207,266
66,완료_0928_B_돌진_07_3인걷기1인돌진_025_masking.mp4,172,249
67,완료_0910_B_돌진_06_3인돌진_CAM3_14_masking.mp4,231,276
68,완료_0910_B_돌진_01_1인돌진_CAM6_18_masking.mp4,230,274
69,0917_B_dash_02_98_masking.mp4,210,274
70,완료_0910_B_돌진_09_1명걷기3명돌진_CAM1_12_masking.mp4,228,297
71,0919_B_dash_04_2인걷기1인돌진_127_masking.mp4,192,263
72,0917_B_dash_05_90_masking.mp4,261,311
73,0917_B_dash_05_101_masking.mp4,215,266
74,완료_0928_B_돌진_09_1인걷기3인돌진_030_masking.mp4,128,252
75,완료_0910_B_돌진_02_1인걷기1인돌진_CAM1_17_masking.mp4,186,262
76,0919_B_dash_05_1인걷기2인돌진_141_masking.mp4,69,129
77,완료_0910_B_돌진_07_3인걷기1인돌진_CAM6_11_masking.mp4,162,213
78,완료_0928_B_돌진_05_1인걷기2인돌진_008_masking.mp4,119,225
79,완료_0909_B_돌진_01_CAM2_8_masking.mp4,401,459
80,완료_0910_B_돌진_02_1인걷기1인돌진_CAM1_14_masking.mp4,207,273
81,완료_0928_B_돌진_10_4인돌진_022_masking.mp4,217,292
82,완료_0928_B_돌진_02_1인걷기1인돌진_003_masking.mp4,232,327
83,완료_0928_B_돌진_08_2인걷기2인돌진_021_masking.mp4,206,260
84,0917_B_dash_10_106_masking.mp4,255,272
85,0919_B_dash_03_2인돌진_141_masking.mp4,227,299
86,완료_0910_B_돌진_08_2명걷기2명돌진_CAM6_12_masking.mp4,198,261
87,완료_0909_B_돌진_02_CAM1_7_masking.mp4,284,413
88,완료_0928_B_돌진_01_1인돌진_026_masking.mp4,237,293
89,완료_0930_B_돌진_01_1인돌진_16_masking.mp4,223,287
90,0917_B_dash_06_102_masking.mp4,248,309
91,완료_0928_B_돌진_06_3인돌진_020_masking.mp4,193,277
92,완료_0928_B_돌진_06_3인돌진_033_masking.mp4,238,302
93,0917_B_dash_06_95_masking.mp4,278,321
94,완료_0910_B_돌진_10_4명돌진_CAM2_16_masking.mp4,252,333
95,완료_0928_B_돌진_06_3인돌진_004_masking.mp4,198,265
96,0917_B_dash_10_100_masking.mp4,287,334
97,0917_B_dash_05_86_masking.mp4,229,299
98,0917_B_dash_01_153_masking.mp4,212,263
99,완료_0910_B_돌진_10_4명돌진_CAM1_15_masking.mp4,255,327
100,완료_0909_B_돌진_02_CAM3_6_masking.mp4,386,427
101,0919_B_dash_03_2인돌진_150_masking.mp4,244,296
102,완료_0928_B_돌진_10_4인돌진_007_masking.mp4,256,314
103,완료_0930_B_돌진_01_1인돌진_13_masking.mp4,227,295
104,완료_0910_B_돌진_02_1인걷기1인돌진_CAM6_18_masking.mp4,168,228
105,0919_B_dash_09_1인걷기3인돌진_159_masking.mp4,190,236
106,0917_B_dash_04_94_masking.mp4,250,309
107,완료_0910_B_돌진_04_2인걷기1인돌진_CAM2_11_masking.mp4,156,201
108,완료_0909_B_돌진_03_CAM2_8_masking.mp4,293,365
109,완료_0909_B_돌진_03_CAM2_5_masking.mp4,196,254
110,완료_0910_B_돌진_03_2인돌진_CAM1_14_masking.mp4,216,270
111,완료_0909_B_돌진_06_CAM2_6_masking.mp4,437,498
112,0919_B_dash_07_3인걷기1인돌진_138__masking.mp4,161,232
113,0929_B_dash_07_050_masking.mp4,133,197
114,완료_0910_B_돌진_06_3인돌진_CAM3_15_masking.mp4,264,297
115,완료_0910_B_돌진_08_2명걷기2명돌진_CAM3_15_masking.mp4,156,222
116,완료_0910_B_돌진_07_3인걷기1인돌진_CAM1_15_masking.mp4,195,237
117,완료_0909_B_돌진_04_CAM6_2_masking.mp4,227,280
118,완료_0910_B_돌진_06_3인돌진_CAM2_17_masking.mp4,267,348
119,0917_B_dash_07_90_masking.mp4,247,295
120,0929_B_dash_01_010_masking.mp4,185,279
121,완료_0909_B_돌진_10_CAM6_2_masking.mp4,335,377
122,완료_0928_B_돌진_02_1인걷기1인돌진_011_masking.mp4,237,298
123,0917_B_dash_05_98_masking.mp4,204,273
124,완료_0909_B_돌진_01_CAM1_10_masking.mp4,402,456
125,0919_B_dash_08_2인걷기2인돌진_157_masking.mp4,161,210
126,완료_0910_B_돌진_02_1인걷기1인돌진_CAM6_19_masking.mp4,153,210
127,완료_0928_B_돌진_01_1인돌진_041_masking.mp4,248,279
128,0919_B_dash_04_2인걷기1인돌진_137_masking.mp4,190,259
129,완료_0928_B_돌진_08_2인걷기2인돌진_024_masking.mp4,250,294
130,0929_B_dash_10_059_masking.mp4,140,264
131,0929_B_dash_06_043_masking.mp4,177,301
132,0917_B_dash_03_85_masking.mp4,238,327
133,완료_0910_B_돌진_07_3인걷기1인돌진_CAM6_17_masking.mp4,165,204
134,완료_0909_B_돌진_03_CAM6_1_masking.mp4,257,287
135,0919_B_dash_03_2인돌진_117_masking.mp4,190,284
136,완료_0909_B_돌진_09_CAM6_5_masking.mp4,282,331
137,완료_0930_B_돌진_01_1인돌진_3_masking.mp4,191,266
138,완료_0909_B_돌진_01_CAM3_3_masking.mp4,202,247
139,완료_0928_B_돌진_01_1인돌진_020_masking.mp4,249,295
140,0917_B_dash_09_87_masking.mp4,243,290
141,0917_B_dash_07_91_masking.mp4,203,237
142,완료_0910_B_돌진_01_1인돌진_CAM2_17_masking.mp4,250,314
143,완료_0910_B_돌진_10_4명돌진_CAM2_17_masking.mp4,243,327
144,완료_0910_B_돌진_02_1인걷기1인돌진_CAM2_16_masking.mp4,285,333
145,완료_0909_B_돌진_05_CAM3_9_masking.mp4,334,369
146,완료_0909_B_돌진_01_CAM1_1_masking.mp4,205,288
147,완료_0910_B_돌진_10_4명돌진_CAM3_10_masking.mp4,201,252
148,완료_0930_B_돌진_01_1인돌진_11_masking.mp4,203,272
149,0917_B_dash_07_112_masking.mp4,210,261
150,완료_0910_B_돌진_03_2인돌진_CAM3_15_masking.mp4,225,273
151,완료_0909_B_돌진_06_CAM3_5_masking.mp4,365,414
152,0917_B_dash_03_109_masking.mp4,262,301
153,0917_B_dash_04_119_masking.mp4,203,270
154,완료_0909_B_돌진_03_CAM2_4_masking.mp4,309,350
155,0917_B_dash_04_117_masking.mp4,229,280
156,완료_0910_B_돌진_04_2인걷기1인돌진_CAM1_16_masking.mp4,189,237
157,0917_B_dash_05_77_masking.mp4,231,289
158,0919_B_dash_07_3인걷기1인돌진_147_masking.mp4,134,178
159,완료_0909_B_돌진_01_CAM6_5_masking.mp4,321,354
160,0919_B_dash_05_1인걷기2인돌진_139_masking.mp4,238,275
161,0919_B_dash_04_2인걷기1인돌진_143_masking.mp4,149,208
162,완료_0910_B_돌진_04_2인걷기1인돌진_CAM2_17_masking.mp4,210,261
163,0917_B_dash_01_146_masking.mp4,220,279
164,0917_B_dash_04_102_masking.mp4,178,224
165,0917_B_dash_06_112_masking.mp4,265,318
166,0919_B_dash_07_3인걷기1인돌진_132_masking.mp4,152,205
167,완료_0909_B_돌진_04_CAM3_8_masking.mp4,261,301
168,완료_0928_B_돌진_03_2인돌진_023_masking.mp4,252,291
169,0917_B_dash_10_99_masking.mp4,304,335
170,완료_0928_B_돌진_08_2인걷기2인돌진_006_masking.mp4,194,259
171,완료_0928_B_돌진_07_3인걷기1인돌진_026_masking.mp4,112,214
172,완료_0928_B_돌진_06_3인돌진_037_masking.mp4,224,284
173,완료_0910_B_돌진_01_1인돌진_CAM1_12_masking.mp4,247,269
174,완료_0909_B_돌진_04_CAM2_6_masking.mp4,288,356
175,0919_B_dash_10_4인돌진_139_masking.mp4,270,307
176,0917_B_dash_07_87_masking.mp4,180,214
177,0919_B_dash_03_2인돌진_144_masking.mp4,249,283
178,완료_0928_B_돌진_05_1인걷기2인돌진_014_masking.mp4,109,186
179,완료_0910_B_돌진_02_1인걷기1인돌진_CAM2_13_masking.mp4,216,288
180,완료_0910_B_돌진_02_1인걷기1인돌진_CAM1_21_masking.mp4,196,270
181,완료_0910_B_돌진_07_3인걷기1인돌진_CAM3_14_masking.mp4,180,282
182,완료_0909_B_돌진_07_CAM6_10_masking.mp4,259,318
183,완료_0909_B_돌진_06_CAM2_10_masking.mp4,320,396
184,0919_B_dash_06_3인돌진_145_masking.mp4,258,294
185,완료_0928_B_돌진_04_2인걷기1인돌진_024_masking.mp4,100,178
186,완료_0930_B_돌진_01_1인돌진_4_masking.mp4,211,265
187,완료_0909_B_돌진_04_CAM6_4_masking.mp4,267,314
188,완료_0910_B_돌진_01_1인돌진_CAM3_24_masking.mp4,214,290
189,0919_B_dash_02_1인걷기1인돌진_147_masking.mp4,215,258
190,완료_0910_B_돌진_06_3인돌진_CAM6_15_masking.mp4,264,315
191,완료_0909_B_돌진_03_CAM3_5_masking.mp4,158,215
192,0919_B_dash_04_2인걷기1인돌진_133_masking.mp4,149,199
193,0919_B_dash_05_1인걷기2인돌진_134_masking.mp4,152,203
194,0917_B_dash_10_80_masking.mp4,280,317
195,0917_B_dash_05_110_masking.mp4,207,315
196,완료_0909_B_돌진_09_CAM3_6_masking.mp4,215,279
197,완료_0910_B_돌진_01_1인돌진_CAM3_16_masking.mp4,222,274
198,0929_B_dash_04_048_masking.mp4,155,249
199,완료_0909_B_돌진_10_CAM3_4_masking.mp4,255,305
200,완료_0909_B_돌진_07_CAM3_8_masking.mp4,293,320
201,완료_0909_B_돌진_02_CAM3_4_masking.mp4,294,344
202,0919_B_dash_06_3인돌진_122_masking.mp4,230,269
203,완료_0928_B_돌진_09_1인걷기3인돌진_013_masking.mp4,222,289
204,0917_B_dash_05_97_masking.mp4,209,254
205,완료_0910_B_돌진_02_1인걷기1인돌진_CAM6_14_masking.mp4,180,237
206,0917_B_dash_10_77_masking.mp4,305,309
207,완료_0910_B_돌진_08_2명걷기2명돌진_CAM3_19_masking.mp4,153,246
208,완료_0910_B_돌진_01_1인돌진_CAM3_13_masking.mp4,224,264
209,완료_0928_B_돌진_03_2인돌진_004_masking.mp4,210,268
210,0919_B_dash_04_2인걷기1인돌진_125_masking.mp4,257,328
211,0919_B_dash_05_1인걷기2인돌진_123_masking.mp4,195,219
212,완료_0910_B_돌진_01_1인돌진_CAM1_20_masking.mp4,198,267
213,0917_B_dash_07_100_masking.mp4,234,274
214,완료_0909_B_돌진_02_CAM3_1_masking.mp4,393,423
215,0917_B_dash_08_94_masking.mp4,150,222
216,완료_0928_B_돌진_09_1인걷기3인돌진_006_masking.mp4,160,230
217,완료_0928_B_돌진_06_3인돌진_001_masking.mp4,218,285
218,완료_0928_B_돌진_09_1인걷기3인돌진_019_masking.mp4,210,274
219,0917_B_dash_03_106_masking.mp4,245,303
220,0919_B_dash_05_1인걷기2인돌진_121_masking.mp4,95,159
221,0919_B_dash_02_1인걷기1인돌진_132_masking.mp4,155,229
222,0917_B_dash_09_112_masking.mp4,241,269
223,완료_0928_B_돌진_09_1인걷기3인돌진_016_masking.mp4,181,268
224,완료_0909_B_돌진_05_CAM6_1_masking.mp4,265,314
225,완료_0910_B_돌진_07_3인걷기1인돌진_CAM6_13_masking.mp4,210,255
226,완료_0928_B_돌진_10_4인돌진_021_masking.mp4,170,247
227,0919_B_dash_05_1인걷기2인돌진_142_masking.mp4,174,219
228,완료_0928_B_돌진_03_2인돌진_006_masking.mp4,264,285
229,완료_0910_B_돌진_03_2인돌진_CAM6_15_masking.mp4,234,276
230,0919_B_dash_09_1인걷기3인돌진_150_masking.mp4,229,245
231,완료_0928_B_돌진_02_1인걷기1인돌진_023_masking.mp4,202,263
232,0917_B_dash_01_151_masking.mp4,223,277
233,완료_0910_B_돌진_06_3인돌진_CAM2_11_masking.mp4,240,324
234,완료_0910_B_돌진_06_3인돌진_CAM6_11_masking.mp4,225,297
235,완료_0928_B_돌진_01_1인돌진_021_masking.mp4,279,311
236,완료_0910_B_돌진_02_1인걷기1인돌진_CAM3_14_masking.mp4,183,258
237,완료_0910_B_돌진_05_1인걷기2인돌진_CAM1_16_masking.mp4,231,276
238,0917_B_dash_02_87_masking.mp4,205,264
239,완료_0909_B_돌진_05_CAM6_8_masking.mp4,286,326
240,완료_0910_B_돌진_04_2인걷기1인돌진_CAM2_15_masking.mp4,189,240
