idx,file_name,start_frame,end_frame
0,0919_F_violence_318_masking.mp4,195,301
1,완료_0910_F_폭행_CAM2_21_masking.mp4,72,408
2,0917_F_violence_01_181_masking.mp4,80,302
3,완료_0909_F_폭행_CAM2_2_masking.mp4,39,390
4,1104_F_violence_244_masking.mp4,64,354
5,0919_F_violence_333_masking.mp4,65,298
6,0919_F_violence_249_masking.mp4,66,271
7,완료_0910_F_폭행_CAM2_27_masking.mp4,174,366
8,1104_F_violence_216_masking.mp4,31,337
9,0917_F_violence_01_167_masking.mp4,102,313
10,1104_F_violence_219_masking.mp4,145,346
11,0919_F_violence_334_masking.mp4,145,346
12,0919_F_violence_316_masking.mp4,100,330
13,완료_0909_F_폭행_CAM3_15_masking.mp4,231,459
14,0919_F_violence_321_masking.mp4,19,316
15,0917_F_violence_01_190_masking.mp4,100,310
16,0917_F_violence_01_170_masking.mp4,55,351
17,완료_0910_F_폭행_CAM6_21_masking.mp4,87,330
18,0919_F_violence_258_masking.mp4,88,364
19,완료_0910_F_폭행_CAM3_21_masking.mp4,57,324
20,0917_F_violence_01_156_masking.mp4,47,368
21,완료_0909_F_폭행_CAM6_7_masking.mp4,12,378
22,완료_0909_F_폭행_CAM3_12_masking.mp4,189,411
23,0919_F_violence_328_masking.mp4,42,324
24,1104_F_violence_246_masking.mp4,156,334
25,0919_F_violence_330_masking.mp4,77,324
26,0919_F_violence_248_masking.mp4,64,303
27,0919_F_violence_312_masking.mp4,108,284
28,완료_0909_F_폭행_CAM6_5_masking.mp4,66,429
29,완료_0909_F_폭행_CAM1_10_masking.mp4,42,294
30,0919_F_violence_307_masking.mp4,116,346
31,0917_F_violence_01_163_masking.mp4,53,366
32,1104_F_violence_233_masking.mp4,112,318
33,1104_F_violence_236_masking.mp4,6,349
34,0919_F_violence_253_masking.mp4,214,358
35,0917_F_violence_01_207_masking.mp4,232,346
36,완료_0909_F_폭행_CAM3_2_masking.mp4,0,396
37,완료_0909_F_폭행_CAM1_7_masking.mp4,12,396
38,0917_F_violence_01_176_masking.mp4,124,324
39,0919_F_violence_283_masking.mp4,116,303
40,완료_0909_F_폭행_CAM3_3_masking.mp4,3,480
41,0917_F_violence_01_172_masking.mp4,94,370
42,완료_0909_F_폭행_CAM6_12_masking.mp4,153,384
43,0917_F_violence_01_185_masking.mp4,28,298
44,완료_0909_F_폭행_CAM2_11_masking.mp4,60,327
45,완료_0909_F_폭행_CAM2_14_masking.mp4,168,321
46,0917_F_violence_01_129_masking.mp4,119,318
47,0919_F_violence_256_masking.mp4,37,319
48,0917_F_violence_01_187_masking.mp4,38,350
49,완료_0909_F_폭행_CAM2_8_masking.mp4,63,453
50,0919_F_violence_310_masking.mp4,73,376
51,0917_F_violence_01_130_masking.mp4,83,358
52,0917_F_violence_01_174_masking.mp4,242,350
53,1104_F_violence_223_masking.mp4,94,336
54,1104_F_violence_215_masking.mp4,78,289
55,0917_F_violence_01_188_masking.mp4,92,335
56,완료_0910_F_폭행_CAM2_28_masking.mp4,153,306
57,0919_F_violence_309_masking.mp4,112,339
58,완료_0909_F_폭행_CAM6_1_masking.mp4,171,447
59,0917_F_violence_01_183_masking.mp4,0,295
60,0919_F_violence_294_masking.mp4,126,355
61,1104_F_violence_247_masking.mp4,141,356
62,0917_F_violence_01_141_masking.mp4,229,325
63,0917_F_violence_01_198_masking.mp4,40,370
64,0919_F_violence_326_masking.mp4,117,328
65,0917_F_violence_01_196_masking.mp4,53,358
66,1104_F_violence_237_masking.mp4,85,341
67,1104_F_violence_226_masking.mp4,59,367
68,1104_F_violence_227_masking.mp4,57,334
69,0917_F_violence_01_202_masking.mp4,9,355
70,0917_F_violence_01_175_masking.mp4,59,347
71,완료_0909_F_폭행_CAM1_15_masking.mp4,225,447
72,0919_F_violence_263_masking.mp4,177,360
73,0919_F_violence_335_masking.mp4,20,285
74,0917_F_violence_01_123_masking.mp4,61,307
75,완료_0910_F_폭행_CAM2_22_masking.mp4,105,294
76,0919_F_violence_269_masking.mp4,34,310
77,1104_F_violence_218_masking.mp4,54,310
78,0917_F_violence_01_177_masking.mp4,76,331
79,0917_F_violence_01_127_masking.mp4,194,367
80,완료_0909_F_폭행_CAM2_10_masking.mp4,39,339
81,0917_F_violence_01_133_masking.mp4,149,344
82,0917_F_violence_01_154_masking.mp4,18,331
83,1104_F_violence_231_masking.mp4,228,364
84,0917_F_violence_01_125_masking.mp4,115,314
85,0919_F_violence_265_masking.mp4,75,326
86,0917_F_violence_01_113_masking.mp4,69,300
87,완료_0910_F_폭행_CAM3_26_masking.mp4,0,327
88,완료_0909_F_폭행_CAM1_13_masking.mp4,108,330
89,0917_F_violence_01_195_masking.mp4,183,360
90,1104_F_violence_232_masking.mp4,157,316
91,0919_F_violence_308_masking.mp4,92,383
92,1104_F_violence_217_masking.mp4,129,357
93,0917_F_violence_01_169_masking.mp4,17,365
94,0917_F_violence_01_120_masking.mp4,52,336
95,0919_F_violence_320_masking.mp4,44,335
96,완료_0910_F_폭행_CAM3_23_masking.mp4,54,357
97,0917_F_violence_01_143_masking.mp4,104,262
98,완료_0910_F_폭행_CAM2_24_masking.mp4,87,387
99,0917_F_violence_01_159_masking.mp4,139,345
100,0919_F_violence_278_masking.mp4,18,388
101,완료_0910_F_폭행_CAM6_19_masking.mp4,51,309
102,완료_0910_F_폭행_CAM3_22_masking.mp4,93,318
103,0917_F_violence_01_121_masking.mp4,31,384
104,0917_F_violence_01_126_masking.mp4,135,351
105,완료_0909_F_폭행_CAM1_11_masking.mp4,54,327
106,0919_F_violence_255_masking.mp4,122,346
107,0919_F_violence_304_masking.mp4,119,366
108,0917_F_violence_01_164_masking.mp4,117,352
109,0919_F_violence_273_masking.mp4,127,344
110,완료_0909_F_폭행_CAM3_9_masking.mp4,18,327
111,0919_F_violence_260_masking.mp4,94,360
112,0917_F_violence_01_205_masking.mp4,41,369
113,0919_F_violence_257_masking.mp4,75,357
114,0919_F_violence_290_masking.mp4,47,303
115,0919_F_violence_296_masking.mp4,103,362
116,0917_F_violence_01_166_masking.mp4,108,301
117,0917_F_violence_01_178_masking.mp4,65,369
118,완료_0909_F_폭행_CAM1_5_masking.mp4,30,495
119,완료_0910_F_폭행_CAM3_25_masking.mp4,0,324
120,0919_F_violence_250_masking.mp4,168,366
121,완료_0910_F_폭행_CAM3_20_masking.mp4,69,324
122,완료_0910_F_폭행_CAM2_19_masking.mp4,78,339
123,완료_0909_F_폭행_CAM6_10_masking.mp4,21,318
124,완료_0910_F_폭행_CAM1_26_masking.mp4,120,333
125,0917_F_violence_01_150_masking.mp4,27,334
126,0917_F_violence_01_144_masking.mp4,45,330
127,완료_0910_F_폭행_CAM6_20_masking.mp4,81,345
128,0917_F_violence_01_179_masking.mp4,166,344
129,0917_F_violence_01_157_masking.mp4,87,315
130,0917_F_violence_01_211_masking.mp4,271,340
131,완료_0909_F_폭행_CAM6_11_masking.mp4,42,273
132,0919_F_violence_274_masking.mp4,64,298
133,0919_F_violence_281_masking.mp4,77,134
134,0919_F_violence_279_masking.mp4,33,355
